id,name,no_ep
560,Gramuflackian General,['https://rickandmortyapi.com/api/episode/34']
561,Netflix Executive,['https://rickandmortyapi.com/api/episode/34']
562,Balthromaw,['https://rickandmortyapi.com/api/episode/35']
563,The Wizard,['https://rickandmortyapi.com/api/episode/35']
564,Talking Cat,['https://rickandmortyapi.com/api/episode/35']
565,Debrah,['https://rickandmortyapi.com/api/episode/35']
566,Debrah’s Partner,['https://rickandmortyapi.com/api/episode/35']
567,Michael,['https://rickandmortyapi.com/api/episode/35']
568,Slut Dragon,['https://rickandmortyapi.com/api/episode/35']
569,Shadow Jacker,['https://rickandmortyapi.com/api/episode/35']
570,Chachi,['https://rickandmortyapi.com/api/episode/35']
571,Slippy,['https://rickandmortyapi.com/api/episode/36']
572,Robot Snake,['https://rickandmortyapi.com/api/episode/36']
573,Snake Hitler,['https://rickandmortyapi.com/api/episode/36']
574,Snake Lincoln,['https://rickandmortyapi.com/api/episode/36']
575,Snake Resistance Robot,['https://rickandmortyapi.com/api/episode/36']
576,Snake Linguist,['https://rickandmortyapi.com/api/episode/36']
577,Snake Terminator,['https://rickandmortyapi.com/api/episode/36']
578,Snake Soldier,['https://rickandmortyapi.com/api/episode/36']
579,Snake with Legs,['https://rickandmortyapi.com/api/episode/36']
580,Secret Service Snake,['https://rickandmortyapi.com/api/episode/36']
581,Anchosnake,['https://rickandmortyapi.com/api/episode/36']
582,Anchosnake,['https://rickandmortyapi.com/api/episode/36']
583,80's snake,['https://rickandmortyapi.com/api/episode/36']
584,Bar Customer,['https://rickandmortyapi.com/api/episode/36']
585,Bartender,['https://rickandmortyapi.com/api/episode/36']
586,PC Basketball Player,['https://rickandmortyapi.com/api/episode/36']
587,Cavesnake,['https://rickandmortyapi.com/api/episode/36']
588,Pet Shop Employee,['https://rickandmortyapi.com/api/episode/36']
589,Snake Reporter,['https://rickandmortyapi.com/api/episode/36']
590,High Pilot,['https://rickandmortyapi.com/api/episode/36']
591,High Pilot,['https://rickandmortyapi.com/api/episode/36']
592,Phoenixperson,"['https://rickandmortyapi.com/api/episode/22', 'https://rickandmortyapi.com/api/episode/41', 'https://rickandmortyapi.com/api/episode/49']"
593,Tickets Please Guy,['https://rickandmortyapi.com/api/episode/37']
594,Floaty Bloody Man,['https://rickandmortyapi.com/api/episode/37']
595,Floaty Non-Gasm Brotherhood Member,['https://rickandmortyapi.com/api/episode/37']
596,Floaty Non-Gasm Brotherhood Member Friend,['https://rickandmortyapi.com/api/episode/37']
597,Abradolf Lincler,['https://rickandmortyapi.com/api/episode/37']
598,Biblesaurus,['https://rickandmortyapi.com/api/episode/37']
599,Birdperson,['https://rickandmortyapi.com/api/episode/37']
600,Cats Fan,['https://rickandmortyapi.com/api/episode/37']
601,Christmas Storyteller,['https://rickandmortyapi.com/api/episode/37']
602,Cookies Guy,['https://rickandmortyapi.com/api/episode/37']
603,Crossy,['https://rickandmortyapi.com/api/episode/37']
604,Female Scorpion,['https://rickandmortyapi.com/api/episode/37']
605,Floaty Bloody Man’s Daughter,['https://rickandmortyapi.com/api/episode/37']
606,Goomby,['https://rickandmortyapi.com/api/episode/37']
607,Hairspray Fan,['https://rickandmortyapi.com/api/episode/37']
608,Jesus Christ,['https://rickandmortyapi.com/api/episode/37']
609,Josh,['https://rickandmortyapi.com/api/episode/37']
610,Josh's Sister,['https://rickandmortyapi.com/api/episode/37']
611,Leah,['https://rickandmortyapi.com/api/episode/37']
612,Marcus,['https://rickandmortyapi.com/api/episode/37']
613,Mike Johnson,['https://rickandmortyapi.com/api/episode/37']
614,Mr. Celery & Friends,['https://rickandmortyapi.com/api/episode/37']
615,Musical Fan,['https://rickandmortyapi.com/api/episode/37']
616,Phantom of the Opera Fan,['https://rickandmortyapi.com/api/episode/37']
617,Phoenixperson,['https://rickandmortyapi.com/api/episode/37']
618,Private Smith,['https://rickandmortyapi.com/api/episode/37']
619,Professor Sanchez,['https://rickandmortyapi.com/api/episode/37']
620,Ramamama Lord,['https://rickandmortyapi.com/api/episode/37']
621,Ruth Bader Ginsburg,['https://rickandmortyapi.com/api/episode/37']
622,Sarge,['https://rickandmortyapi.com/api/episode/37']
623,Shrek The Musical Fan,['https://rickandmortyapi.com/api/episode/37']
624,Snuffles,['https://rickandmortyapi.com/api/episode/37']
625,Storylord,['https://rickandmortyapi.com/api/episode/37']
626,Tammy Guetermann,['https://rickandmortyapi.com/api/episode/37']
627,The Concept of Time,['https://rickandmortyapi.com/api/episode/37']
628,Beth Smith,['https://rickandmortyapi.com/api/episode/37']
629,Summer Smith,['https://rickandmortyapi.com/api/episode/37']
630,Morty Smith,['https://rickandmortyapi.com/api/episode/37']
631,Rick Sanchez,['https://rickandmortyapi.com/api/episode/37']
632,Train Cop,['https://rickandmortyapi.com/api/episode/37']
633,Train Cops,['https://rickandmortyapi.com/api/episode/37']
634,Train Cops Instructor,['https://rickandmortyapi.com/api/episode/37']
635,Darth Poopybutthole,['https://rickandmortyapi.com/api/episode/37']
636,Evil Morty,['https://rickandmortyapi.com/api/episode/37']
637,Morty’s Disguise,['https://rickandmortyapi.com/api/episode/37']
638,Rick’s Disguise,['https://rickandmortyapi.com/api/episode/37']
639,Uncle Nibbles,['https://rickandmortyapi.com/api/episode/37']
640,Angry Glorzo,['https://rickandmortyapi.com/api/episode/38']
641,Bruce,['https://rickandmortyapi.com/api/episode/38']
642,Council of Glorzos Member,['https://rickandmortyapi.com/api/episode/38']
643,Council of Glorzos Member,['https://rickandmortyapi.com/api/episode/38']
644,Old Glorzo,['https://rickandmortyapi.com/api/episode/38']
645,Shane,['https://rickandmortyapi.com/api/episode/38']
646,Steve,['https://rickandmortyapi.com/api/episode/38']
647,Troy,['https://rickandmortyapi.com/api/episode/38']
648,Crystal Dealers Boss,['https://rickandmortyapi.com/api/episode/39']
649,Crystal Dealer,['https://rickandmortyapi.com/api/episode/39']
650,Crystal Dealer,['https://rickandmortyapi.com/api/episode/39']
651,Crystal Dealer,['https://rickandmortyapi.com/api/episode/39']
652,SWAT Officer,['https://rickandmortyapi.com/api/episode/39']
653,Plane Crash Survivor,['https://rickandmortyapi.com/api/episode/39']
654,Plane Crash Survivor,['https://rickandmortyapi.com/api/episode/39']
655,Heroine Keith,['https://rickandmortyapi.com/api/episode/39']
656,Impervious to Acid SWAT Officer,['https://rickandmortyapi.com/api/episode/39']
657,Johnny Carson,['https://rickandmortyapi.com/api/episode/39']
658,Sonia Sotomayor,['https://rickandmortyapi.com/api/episode/39']
659,Morty’s Father-in-law,['https://rickandmortyapi.com/api/episode/39']
660,Morty’s Mother-in-law,['https://rickandmortyapi.com/api/episode/39']
661,Morty’s Girlfriend,['https://rickandmortyapi.com/api/episode/39']
662,Gaia,['https://rickandmortyapi.com/api/episode/40']
663,Reggie,['https://rickandmortyapi.com/api/episode/40']
664,Ticktock,['https://rickandmortyapi.com/api/episode/40']
665,Florflock,['https://rickandmortyapi.com/api/episode/40']
666,Squeeb,['https://rickandmortyapi.com/api/episode/40']
667,Defiance Beth,"['https://rickandmortyapi.com/api/episode/41', 'https://rickandmortyapi.com/api/episode/43']"
668,Defiance Squanchette,['https://rickandmortyapi.com/api/episode/41']
669,Defiance Doctor,['https://rickandmortyapi.com/api/episode/41']
670,New Improved Galactic Federation Guard,['https://rickandmortyapi.com/api/episode/41']
671,New Improved Galactic Federation Guard,['https://rickandmortyapi.com/api/episode/41']
672,Mr. Nimbus,['https://rickandmortyapi.com/api/episode/42']
673,Hoovy,['https://rickandmortyapi.com/api/episode/42']
674,Bova,['https://rickandmortyapi.com/api/episode/42']
675,Japheth,['https://rickandmortyapi.com/api/episode/42']
676,Japheth's Middle Son,['https://rickandmortyapi.com/api/episode/42']
677,Japheth's Eldest Son,['https://rickandmortyapi.com/api/episode/42']
678,Japheth's Youngest Son,['https://rickandmortyapi.com/api/episode/42']
679,Japheth's Grandson,['https://rickandmortyapi.com/api/episode/42']
680,Adam,['https://rickandmortyapi.com/api/episode/42']
681,Adam's Mother,['https://rickandmortyapi.com/api/episode/42']
682,Warlock,['https://rickandmortyapi.com/api/episode/42']
683,Evolved Narnian,['https://rickandmortyapi.com/api/episode/42']
684,Mr. Nimbus Secretary,['https://rickandmortyapi.com/api/episode/42']
685,Evolved Narnian Disguised as Morty,['https://rickandmortyapi.com/api/episode/42']
686,Mr. Nimbus' Squid,['https://rickandmortyapi.com/api/episode/42']
687,Scarecrow Rick,['https://rickandmortyapi.com/api/episode/43']
688,Scarecrow Summer,['https://rickandmortyapi.com/api/episode/43']
689,Scarecrow Jerry,['https://rickandmortyapi.com/api/episode/43']
690,Scarecrow Morty,['https://rickandmortyapi.com/api/episode/43']
691,Scarecrow Beth,['https://rickandmortyapi.com/api/episode/43']
692,Glockenspiel Jerry,['https://rickandmortyapi.com/api/episode/43']
693,Glockenspiel Beth,['https://rickandmortyapi.com/api/episode/43']
694,Glockenspiel Rick,['https://rickandmortyapi.com/api/episode/43']
695,Glockenspiel Summer,['https://rickandmortyapi.com/api/episode/43']
696,Glockenspiel Morty,['https://rickandmortyapi.com/api/episode/43']
697,Wicker Beth,['https://rickandmortyapi.com/api/episode/43']
698,Wicker Rick,['https://rickandmortyapi.com/api/episode/43']
699,Wicker Morty,['https://rickandmortyapi.com/api/episode/43']
700,Wicker Summer,['https://rickandmortyapi.com/api/episode/43']
701,Metal Rick,['https://rickandmortyapi.com/api/episode/43']
702,Gun Brain Rick,['https://rickandmortyapi.com/api/episode/43']
703,Mr. Always Wants to be Hunted,['https://rickandmortyapi.com/api/episode/43']
704,Squid Costume Beth,['https://rickandmortyapi.com/api/episode/43']
705,Squid Costume Jerry,['https://rickandmortyapi.com/api/episode/43']
706,Squid Costume Morty,['https://rickandmortyapi.com/api/episode/43']
707,Squid Costume Rick,['https://rickandmortyapi.com/api/episode/43']
708,Squid Costume Summer,['https://rickandmortyapi.com/api/episode/43']
709,Dracula,['https://rickandmortyapi.com/api/episode/43']
710,Steve,['https://rickandmortyapi.com/api/episode/43']
711,When Wolf,['https://rickandmortyapi.com/api/episode/43']
712,Too Cute to Murder Beth,['https://rickandmortyapi.com/api/episode/43']
713,Too Cute to Murder Rick,['https://rickandmortyapi.com/api/episode/43']
714,Too Cute to Murder Jerry,['https://rickandmortyapi.com/api/episode/43']
715,Too Cute to Murder Morty,['https://rickandmortyapi.com/api/episode/43']
716,Too Cute to Murder Summer,['https://rickandmortyapi.com/api/episode/43']
717,Planetina,['https://rickandmortyapi.com/api/episode/44']
718,Daphne,['https://rickandmortyapi.com/api/episode/44']
719,Diesel Weasel,['https://rickandmortyapi.com/api/episode/44']
720,Eddie,['https://rickandmortyapi.com/api/episode/44']
721,Xing Ho,['https://rickandmortyapi.com/api/episode/44']
722,Air Tina-Teer,['https://rickandmortyapi.com/api/episode/44']
723,Water Tina-Teer,['https://rickandmortyapi.com/api/episode/44']
724,Planetina Buyer,['https://rickandmortyapi.com/api/episode/44']
725,Tony Galopagus,['https://rickandmortyapi.com/api/episode/44']
726,Sticky,['https://rickandmortyapi.com/api/episode/45']
727,Professor Shabooboo,['https://rickandmortyapi.com/api/episode/45']
728,Sperm Queen,['https://rickandmortyapi.com/api/episode/45']
729,CHUD King,['https://rickandmortyapi.com/api/episode/45']
730,Princess Ponietta,['https://rickandmortyapi.com/api/episode/45']
731,Naruto Smith,"['https://rickandmortyapi.com/api/episode/45', 'https://rickandmortyapi.com/api/episode/48']"
732,Blazen,['https://rickandmortyapi.com/api/episode/45']
733,Kathy Ireland,['https://rickandmortyapi.com/api/episode/45']
734,Amazing Johnathan,['https://rickandmortyapi.com/api/episode/45']
735,Foal Sanchez,['https://rickandmortyapi.com/api/episode/45']
736,Spaceman,['https://rickandmortyapi.com/api/episode/45']
737,Cirque du Soleil Zumanity Member,['https://rickandmortyapi.com/api/episode/45']
738,Cirque du Soleil Zumanity Member,['https://rickandmortyapi.com/api/episode/45']
739,Cirque du Soleil Zumanity Member,['https://rickandmortyapi.com/api/episode/45']
740,Cirque du Soleil Zumanity Member,['https://rickandmortyapi.com/api/episode/45']
741,Cirque du Soleil Zumanity Member,['https://rickandmortyapi.com/api/episode/45']
742,Bruce Chutback,['https://rickandmortyapi.com/api/episode/46']
743,Alyson Hannigan,['https://rickandmortyapi.com/api/episode/46']
744,Cenobite,['https://rickandmortyapi.com/api/episode/46']
745,Cenobite,['https://rickandmortyapi.com/api/episode/46']
746,Cenobite,['https://rickandmortyapi.com/api/episode/46']
747,Cenobite,['https://rickandmortyapi.com/api/episode/46']
748,Cenobite,['https://rickandmortyapi.com/api/episode/46']
749,Coat Rack Head,['https://rickandmortyapi.com/api/episode/46']
750,Mousetrap Nipples,['https://rickandmortyapi.com/api/episode/46']
751,Changeformer,['https://rickandmortyapi.com/api/episode/46']
752,Changeformer,['https://rickandmortyapi.com/api/episode/46']
753,Space Cruiser,"['https://rickandmortyapi.com/api/episode/17', 'https://rickandmortyapi.com/api/episode/47']"
754,Coop,['https://rickandmortyapi.com/api/episode/47']
755,Dwayne,['https://rickandmortyapi.com/api/episode/47']
756,Franklin D. Roosevelt,['https://rickandmortyapi.com/api/episode/47']
757,President's General,"['https://rickandmortyapi.com/api/episode/45', 'https://rickandmortyapi.com/api/episode/47']"
758,Giant Assassin Hidden in the Statue of Liberty,['https://rickandmortyapi.com/api/episode/47']
759,Turkey Morty,['https://rickandmortyapi.com/api/episode/47']
760,Turkey Rick,['https://rickandmortyapi.com/api/episode/47']
761,Turkey President Curtis,['https://rickandmortyapi.com/api/episode/47']
762,Martínez,['https://rickandmortyapi.com/api/episode/47']
763,Marvin,['https://rickandmortyapi.com/api/episode/47']
764,Jackey,['https://rickandmortyapi.com/api/episode/47']
765,Native Alien,['https://rickandmortyapi.com/api/episode/47']
766,Pilgrim Alien,['https://rickandmortyapi.com/api/episode/47']
767,President Turkey,['https://rickandmortyapi.com/api/episode/47']
768,Mary-Lou,['https://rickandmortyapi.com/api/episode/47']
769,Big Fat rick,['https://rickandmortyapi.com/api/episode/48']
770,Hothead Rick,['https://rickandmortyapi.com/api/episode/48']
771,Ricardo Montoya,['https://rickandmortyapi.com/api/episode/48']
772,Wrap-it-up Little Rick,['https://rickandmortyapi.com/api/episode/48']
773,Yo-yo Rick,['https://rickandmortyapi.com/api/episode/48']
774,Voiceoverian,['https://rickandmortyapi.com/api/episode/48']
775,Voiceoverian,['https://rickandmortyapi.com/api/episode/48']
776,Gotron Pilot,['https://rickandmortyapi.com/api/episode/48']
777,Gotron Pilot,['https://rickandmortyapi.com/api/episode/48']
778,Gotron Pilot,['https://rickandmortyapi.com/api/episode/48']
779,Young Memory Rick,['https://rickandmortyapi.com/api/episode/49']
780,Memory Tammy,['https://rickandmortyapi.com/api/episode/49']
781,Rick's Garage,['https://rickandmortyapi.com/api/episode/49']
782,Memory Squanchy,['https://rickandmortyapi.com/api/episode/49']
783,Memory Rick,['https://rickandmortyapi.com/api/episode/49']
784,Memory Rick,['https://rickandmortyapi.com/api/episode/49']
785,Memory Geardude,['https://rickandmortyapi.com/api/episode/49']
786,Birdperson & Tammy's Child,['https://rickandmortyapi.com/api/episode/49']
787,Two Crows,"['https://rickandmortyapi.com/api/episode/50', 'https://rickandmortyapi.com/api/episode/51']"
788,Mr. Cookie President,['https://rickandmortyapi.com/api/episode/50']
789,Nick,['https://rickandmortyapi.com/api/episode/50']
790,Harold (Garbage Goober),['https://rickandmortyapi.com/api/episode/50']
791,Harold's Wife,['https://rickandmortyapi.com/api/episode/50']
792,Alien Crow,['https://rickandmortyapi.com/api/episode/50']
793,Alien Crow,['https://rickandmortyapi.com/api/episode/50']
794,Samansky,['https://rickandmortyapi.com/api/episode/48']
795,Palicki,['https://rickandmortyapi.com/api/episode/48']
796,Sarge,['https://rickandmortyapi.com/api/episode/48']
797,Slartivartian,['https://rickandmortyapi.com/api/episode/44']
798,Ferkusian,['https://rickandmortyapi.com/api/episode/44']
799,Morglutzian,['https://rickandmortyapi.com/api/episode/44']
800,Super Turkey,['https://rickandmortyapi.com/api/episode/47']
801,7+7 Years Old Morty,['https://rickandmortyapi.com/api/episode/51']
802,26 Years Old Morty,['https://rickandmortyapi.com/api/episode/51']
803,40 Years Old Morty,['https://rickandmortyapi.com/api/episode/51']
804,Andy,['https://rickandmortyapi.com/api/episode/51']
805,Baby Mouse Skin Morty,['https://rickandmortyapi.com/api/episode/51']
806,Metaphor for Capitalism,['https://rickandmortyapi.com/api/episode/51']
807,Beth Sanchez,['https://rickandmortyapi.com/api/episode/51']
808,Crow Scare,['https://rickandmortyapi.com/api/episode/51']
809,Pussifer,['https://rickandmortyapi.com/api/episode/51']
810,Stan Lee Rick,['https://rickandmortyapi.com/api/episode/51']
811,Re-Build-a-Morty Morty,['https://rickandmortyapi.com/api/episode/51']
812,Deformed Morty,['https://rickandmortyapi.com/api/episode/51']
813,Crow Horse,['https://rickandmortyapi.com/api/episode/51']
814,Bald Rick,['https://rickandmortyapi.com/api/episode/51']
815,Punk Rick,['https://rickandmortyapi.com/api/episode/51']
816,Party Rick,['https://rickandmortyapi.com/api/episode/51']
817,Scar Rick,['https://rickandmortyapi.com/api/episode/51']
818,Long Hair Rick,['https://rickandmortyapi.com/api/episode/51']
819,Redhead Rick,['https://rickandmortyapi.com/api/episode/51']
820,Redhead Morty,['https://rickandmortyapi.com/api/episode/51']
821,Gotron,['https://rickandmortyapi.com/api/episode/48']
822,Young Jerry,['https://rickandmortyapi.com/api/episode/51']
823,Young Beth,['https://rickandmortyapi.com/api/episode/51']
824,Young Beth,['https://rickandmortyapi.com/api/episode/51']
825,Young Jerry,['https://rickandmortyapi.com/api/episode/51']
826,Butter Robot,['https://rickandmortyapi.com/api/episode/9']
